City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
3,rikitea,PF,78.33,clear sky,-23.1203,-134.9692,Pension Maro'i
5,pitimbu,BR,78.8,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
7,arraial do cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
10,jamestown,US,71.6,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
19,atuona,PF,80.4,light rain,-9.8,-139.0333,Villa Enata
20,rock sound,BS,75.45,broken clouds,24.9,-76.2,Rock Sound Club
21,albany,US,73.0,clear sky,42.6001,-73.9662,
22,butaritari,KI,81.05,light rain,3.0707,172.7902,Isles Sunset Lodge
26,san patricio,US,82.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
28,bonthe,SL,84.9,light rain,7.5264,-12.505,Bonthe Holiday Village
29,luganville,VU,76.21,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
30,avarua,CK,77.0,few clouds,-21.2078,-159.775,Paradise Inn
40,touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
42,bathsheba,BB,80.6,volcanic ash,13.2167,-59.5167,Atlantis Hotel
43,sao miguel do araguaia,BR,86.61,clear sky,-13.275,-50.1628,Hotel Executivo Palace
47,port hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
51,kirakira,SB,78.84,overcast clouds,-10.4544,161.9205,SanBiz Lodge
54,olinda,BR,77.0,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
56,tomatlan,MX,87.69,clear sky,19.9333,-105.25,Norma franco
57,hithadhoo,MV,83.75,overcast clouds,-0.6,73.0833,Scoop Guest House
65,faanui,PF,81.7,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,santa cruz,BO,84.2,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
77,gustavo diaz ordaz,MX,87.01,clear sky,26.2333,-98.5833,Chikas En El Hotel
81,kumphawapi,TH,84.0,scattered clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
83,huarmey,PE,73.96,overcast clouds,-10.0681,-78.1522,Hotel Miramar
86,morondava,MG,80.28,broken clouds,-20.2833,44.2833,La Case Bambou
87,mecca,SA,80.15,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
88,carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
91,kanigoro,ID,74.07,broken clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
101,kavieng,PG,78.19,light rain,-2.5744,150.7967,Nusa Island Retreat
102,puerto ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,biak,ID,76.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
105,nouakchott,MR,82.4,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
106,tabas,IR,80.64,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
107,martapura,ID,77.0,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
112,marsh harbour,BS,76.14,clear sky,26.5412,-77.0636,Abaco Beach Resort
115,vao,NC,78.76,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
117,hirara,JP,72.45,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
127,san andres,CO,86.0,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
132,castro,BR,78.62,clear sky,-24.7911,-50.0119,CHACARA BAILLY
133,savannah bight,HN,87.8,broken clouds,16.45,-85.85,Villa on Dunbar Rock
134,cagsiay,PH,78.75,scattered clouds,14.2167,121.75,"Sitio Maligaya, Barangay Cagsiay I"
136,giyani,ZA,75.43,clear sky,-23.3025,30.7187,Kulani Country Lodge
137,lubao,PH,78.8,broken clouds,14.9167,120.55,Hacienda Gracia
139,palmer,US,72.0,few clouds,42.1584,-72.3287,Wedgewood Motel
145,cap malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
150,sibolga,ID,77.52,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
152,victoria,HK,72.0,few clouds,22.2855,114.1577,Mini Hotel Central
155,port blair,IN,82.26,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
157,sharjah,AE,89.6,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
159,sao filipe,CV,77.72,clear sky,14.8961,-24.4956,Tortuga B&B
160,nishihara,JP,71.6,broken clouds,26.1842,127.7558,Minshuku Agaihama
163,gamba,GA,77.9,overcast clouds,-2.65,10.0,
164,kieta,PG,76.87,light rain,-6.2167,155.6333,Uruna Bay Retreat
165,cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
167,eyl,SO,80.42,clear sky,7.9803,49.8164,Amiin Hotel
168,mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,nouadhibou,MR,75.2,sand,20.930999999999997,-17.0347,El Medina
172,santa rosa,PH,81.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
179,dingle,PH,76.03,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
181,kavaratti,IN,83.1,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
183,hobyo,SO,83.03,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
