,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,mataura,NZ,-46.1927,168.8643,55.99,92,97,1.99,overcast clouds
1,punta arenas,CL,-53.15,-70.9167,53.6,62,75,13.8,broken clouds
2,saldanha,ZA,-33.0117,17.9442,66.2,77,98,9.22,overcast clouds
3,rikitea,PF,-23.1203,-134.9692,78.33,72,2,9.35,clear sky
4,east london,ZA,-33.0153,27.9116,68.0,94,0,2.3,clear sky
5,pitimbu,BR,-7.4706,-34.8086,78.8,100,75,8.05,broken clouds
6,kruisfontein,ZA,-34.0033,24.7314,60.01,94,96,1.01,overcast clouds
7,arraial do cabo,BR,-22.9661,-42.0278,84.2,47,0,18.41,clear sky
8,taunggyi,MM,20.7833,97.0333,69.98,43,36,4.65,scattered clouds
9,osinki,RU,52.8432,49.5132,53.96,82,100,6.29,light rain
10,jamestown,US,42.097,-79.2353,71.6,40,1,9.22,clear sky
11,torbay,CA,47.6666,-52.7314,32.0,93,90,19.57,snow
12,shieli,KZ,44.1667,66.75,52.45,36,0,15.86,clear sky
13,geraldton,AU,-28.7667,114.6,77.0,47,90,23.02,overcast clouds
14,saskylakh,RU,71.9167,114.0833,-5.71,89,12,9.82,few clouds
15,aksu,CN,41.1231,80.2644,59.56,25,5,5.55,clear sky
16,usinsk,RU,65.9939,57.5281,35.67,74,68,25.08,broken clouds
17,esperance,AU,-33.8667,121.9,57.2,88,73,10.36,broken clouds
18,leningradskiy,RU,69.3833,178.4167,-17.12,99,100,2.35,overcast clouds
19,atuona,PF,-9.8,-139.0333,80.4,77,75,18.72,light rain
20,rock sound,BS,24.9,-76.2,75.45,65,74,16.6,broken clouds
21,albany,US,42.6001,-73.9662,73.0,41,0,1.01,clear sky
22,butaritari,KI,3.0707,172.7902,81.05,80,100,10.31,light rain
23,kapaa,US,22.0752,-159.319,68.0,77,90,11.5,light rain
24,hermanus,ZA,-34.4187,19.2345,64.0,86,100,3.56,overcast clouds
25,kokstad,ZA,-30.5472,29.4241,64.63,56,39,4.54,scattered clouds
26,san patricio,US,28.017,-97.5169,82.4,42,1,17.27,clear sky
27,flin flon,CA,54.7682,-101.865,35.6,64,75,9.22,broken clouds
28,bonthe,SL,7.5264,-12.505,84.9,70,83,10.36,light rain
29,luganville,VU,-15.5333,167.1667,76.21,89,100,4.83,overcast clouds
30,avarua,CK,-21.2078,-159.775,77.0,100,20,3.44,few clouds
31,yellowknife,CA,62.456,-114.3525,3.99,60,20,11.5,few clouds
32,codrington,AU,-38.2667,141.9667,50.79,65,100,27.67,overcast clouds
33,moussoro,TD,13.6408,16.4901,97.86,5,59,9.01,broken clouds
34,saint anthony,US,45.0205,-93.218,46.99,66,90,9.22,overcast clouds
35,port alfred,ZA,-33.5906,26.891,69.19,91,95,7.18,overcast clouds
36,te anau,NZ,-45.4167,167.7167,53.62,94,96,3.65,overcast clouds
37,erzin,TR,36.9559,36.2,48.99,91,100,3.0,moderate rain
38,barrow,US,71.2906,-156.7887,-16.6,69,75,6.91,broken clouds
39,provideniya,RU,64.3833,-173.3,-1.66,86,100,21.03,overcast clouds
40,touros,BR,-5.1989,-35.4608,86.0,66,75,12.66,broken clouds
41,cape town,ZA,-33.9258,18.4232,66.2,77,0,12.66,clear sky
42,bathsheba,BB,13.2167,-59.5167,80.6,65,20,9.22,volcanic ash
43,sao miguel do araguaia,BR,-13.275,-50.1628,86.61,50,7,5.86,clear sky
44,lompoc,US,34.6391,-120.4579,55.4,67,98,16.11,overcast clouds
45,hobart,AU,-42.8794,147.3294,44.6,70,75,11.5,light rain
46,barcelona,ES,41.3888,2.159,57.99,88,75,3.44,broken clouds
47,port hedland,AU,-20.3167,118.5667,80.6,89,100,5.75,overcast clouds
48,severo-kurilsk,RU,50.6789,156.125,29.01,84,100,17.87,overcast clouds
49,astana,KZ,51.1801,71.446,35.6,87,0,17.9,clear sky
50,nikolskoye,RU,59.7035,30.7861,37.0,93,75,6.71,broken clouds
51,kirakira,SB,-10.4544,161.9205,78.84,85,100,4.27,overcast clouds
52,hilo,US,19.7297,-155.09,66.2,77,90,6.91,overcast clouds
53,bredasdorp,ZA,-34.5322,20.0403,62.6,88,100,4.61,overcast clouds
54,olinda,BR,-8.0089,-34.8553,77.0,83,75,12.66,light rain
55,hebi,CN,35.8992,114.1925,51.6,52,41,4.9,scattered clouds
