City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-04-08 01:56:50,-54.8,-68.3,46.4,87,75,3.44
1,Atuona,PF,2021-04-08 01:56:50,-9.8,-139.0333,80.83,73,7,14.45
2,Hajnowka,PL,2021-04-08 01:56:11,52.7433,23.5812,28.99,81,98,3.0
3,Yellowknife,CA,2021-04-08 01:56:51,62.456,-114.3525,17.6,86,90,11.5
4,Lethem,GY,2021-04-08 01:56:51,3.3803,-59.7968,74.62,90,100,6.55
5,Albany,US,2021-04-08 01:52:36,42.6001,-73.9662,57.2,58,20,9.22
6,Guerrero Negro,MX,2021-04-08 01:52:44,27.9769,-114.0611,64.04,74,13,14.76
7,Trincomalee,LK,2021-04-08 01:56:52,8.5711,81.2335,78.62,80,55,5.5
8,Port Elizabeth,ZA,2021-04-08 01:56:52,-33.918,25.5701,60.8,100,20,5.75
9,Sorland,NO,2021-04-08 01:56:53,67.667,12.6934,32.88,51,100,17.78
10,Machacamarca,BO,2021-04-08 01:56:53,-18.1667,-67.0333,53.49,44,100,4.7
11,New Norfolk,AU,2021-04-08 01:56:53,-42.7826,147.0587,73.0,29,100,5.01
12,Belyy Yar,RU,2021-04-08 01:56:54,53.6039,91.3903,39.2,65,0,8.95
13,Hobart,AU,2021-04-08 01:51:57,-42.8794,147.3294,73.0,40,0,5.75
14,Hilo,US,2021-04-08 01:56:54,19.7297,-155.09,77.0,57,20,12.66
15,Rikitea,PF,2021-04-08 01:56:55,-23.1203,-134.9692,77.27,61,0,7.9
16,Hithadhoo,MV,2021-04-08 01:56:55,-0.6,73.0833,83.17,64,56,10.42
17,Dikson,RU,2021-04-08 01:56:56,73.5069,80.5464,9.68,78,100,6.06
18,Anaco,VE,2021-04-08 01:56:56,9.4389,-64.4728,81.28,64,89,9.8
19,Namie,JP,2021-04-08 01:56:57,37.4833,141.0,61.0,28,80,1.99
20,Ampanihy,MG,2021-04-08 01:56:57,-24.7,44.75,67.23,87,2,6.67
21,Nevsehir,TR,2021-04-08 01:56:57,38.9167,34.6667,44.6,49,0,6.91
22,Cape Town,ZA,2021-04-08 01:52:50,-33.9258,18.4232,63.0,88,0,12.66
23,Furmanov,RU,2021-04-08 01:56:58,57.2508,41.1058,33.8,93,90,8.95
24,Mataura,NZ,2021-04-08 01:56:59,-46.1927,168.8643,66.99,59,9,1.01
25,Moose Factory,CA,2021-04-08 01:56:59,51.2585,-80.6094,35.6,80,90,3.44
26,Nikolskoye,RU,2021-04-08 01:56:59,59.7035,30.7861,30.0,93,0,6.71
27,Tiksi,RU,2021-04-08 01:57:00,71.6872,128.8694,-0.9,90,100,3.69
28,Butaritari,KI,2021-04-08 01:57:00,3.0707,172.7902,81.46,78,100,13.8
29,Severo-Kurilsk,RU,2021-04-08 01:57:01,50.6789,156.125,31.69,89,100,51.0
30,Vaini,TO,2021-04-08 01:57:01,-21.2,-175.2,80.6,69,20,9.22
31,Hasaki,JP,2021-04-08 01:57:01,35.7333,140.8333,60.8,72,75,5.75
32,Talikota,IN,2021-04-08 01:57:02,16.4833,76.3167,86.63,33,83,9.71
33,Donskoye,RU,2021-04-08 01:57:02,45.4552,41.9741,51.8,62,0,6.71
34,Mokhsogollokh,RU,2021-04-08 01:57:03,61.4681,128.9203,18.61,72,87,7.94
35,Kodiak,US,2021-04-08 01:57:03,57.79,-152.4072,35.6,80,90,6.91
36,Bredasdorp,ZA,2021-04-08 01:57:03,-34.5322,20.0403,57.2,100,87,2.3
37,Coquimbo,CL,2021-04-08 01:57:04,-29.9533,-71.3436,60.8,88,90,3.44
38,Nanortalik,GL,2021-04-08 01:57:04,60.1432,-45.2371,35.69,86,100,3.83
39,Redlands,US,2021-04-08 01:54:58,34.0556,-117.1825,78.8,31,75,12.66
40,Ponta Do Sol,PT,2021-04-08 01:57:05,32.6667,-17.1,62.01,79,100,3.0
41,Bethel,US,2021-04-08 01:57:05,41.3712,-73.414,53.01,66,99,5.39
42,Tezu,IN,2021-04-08 01:57:06,27.9167,96.1667,81.09,31,92,2.44
43,Punta Arenas,CL,2021-04-08 01:56:29,-53.15,-70.9167,48.2,76,40,9.22
44,Nouakchott,MR,2021-04-08 01:57:06,18.0858,-15.9785,71.6,78,0,17.27
45,Arlit,NE,2021-04-08 01:57:07,18.7369,7.3853,81.23,7,39,8.43
46,Santa Cruz,BO,2021-04-08 01:54:35,-17.8,-63.1667,77.0,83,7,3.44
47,Shingu,JP,2021-04-08 01:57:07,33.7333,135.9833,62.6,42,75,3.44
48,Cangzhou,CN,2021-04-08 01:57:08,38.3167,116.8667,58.62,17,0,5.88
